timestamp,rep_duration_seconds,min_elbow_angle,max_elbow_angle,avg_elbow_angle,min_back_angle,avg_back_angle,max_flare_angle,min_neck_angle,label_binary,label_specific
2026-03-27T16:56:14.484024,2.15,85.2,172.5,130.4,165.1,168.0,45.3,150.2,good_form,perfect
2026-03-27T18:59:04.099439,1.66,80.93,165.63,123.6,160.58,164.99,143.47,43.36,good_form,perfect
2026-03-27T18:59:07.798398,1.49,81.35,170.43,118.62,148.77,161.91,150.19,37.43,good_form,perfect
2026-03-27T18:59:31.744454,10.34,85.87,160.54,118.38,165.66,170.55,52.85,118.51,good_form,perfect
2026-03-27T19:00:11.944219,40.2,26.9,154.58,91.56,165.36,170.73,45.51,100.71,good_form,perfect
2026-03-27T19:05:39.376515,2.33,86.57,165.97,129.18,137.61,155.38,113.66,41.09,bad_form,shallow_depth
2026-03-27T19:05:58.106978,8.61,74.35,165.78,115.64,110.55,162.95,74.19,113.82,good_form,perfect
2026-03-27T19:06:48.005565,47.68,57.87,162.15,86.16,84.08,167.36,71.83,90.55,good_form,perfect
2026-03-27T19:17:16.967229,2.94,68.02,163.69,109.35,144.02,163.17,154.73,19.64,good_form,perfect
2026-03-27T19:17:23.507474,2.49,78.95,168.5,118.48,127.25,154.2,133.49,16.28,good_form,perfect
2026-03-27T19:17:29.129550,2.87,80.34,163.51,118.99,93.74,147.27,131.3,20.05,good_form,perfect
2026-03-27T19:17:34.120871,2.33,79.55,170.6,120.19,129.95,161.71,142.72,24.47,good_form,perfect
2026-03-27T19:17:46.007511,4.23,48.42,165.64,90.45,113.83,157.38,171.49,12.08,good_form,perfect
2026-03-27T19:18:07.147883,2.53,73.01,167.95,119.39,62.96,140.45,156.0,23.48,good_form,perfect
2026-03-27T19:18:11.700855,2.51,85.94,165.04,120.54,154.58,163.91,104.0,66.64,good_form,perfect
2026-03-27T19:18:35.268359,2.94,82.74,173.01,129.16,133.38,147.85,143.83,54.96,bad_form,shallow_depth
2026-03-27T19:18:50.133898,4.41,58.41,167.66,98.26,103.43,141.45,158.34,17.67,good_form,perfect
2026-03-27T19:19:01.315373,3.17,66.51,161.52,112.95,133.03,155.17,114.69,25.79,good_form,perfect
2026-03-27T19:19:05.699893,2.64,84.51,161.18,117.04,132.69,153.1,86.35,57.63,good_form,perfect
2026-03-27T19:19:12.190953,3.12,72.48,162.72,112.89,154.37,165.04,113.63,23.36,good_form,perfect
2026-03-27T19:19:18.844144,2.62,83.3,167.48,119.55,122.41,154.03,84.53,12.89,good_form,perfect
2026-03-27T19:19:23.504909,2.51,80.88,166.1,116.7,126.69,157.51,80.68,12.11,good_form,perfect
2026-03-27T19:19:36.409211,2.93,77.75,168.94,115.42,144.92,160.85,97.06,31.36,good_form,perfect
2026-03-27T19:20:00.525577,3.22,74.51,160.27,120.35,124.44,151.13,148.82,13.19,good_form,perfect
2026-03-27T19:20:04.747423,2.06,83.82,171.1,121.79,144.79,161.36,142.9,44.26,bad_form,elbow_flare
2026-03-27T19:20:08.549719,2.45,63.25,171.44,110.59,134.99,155.88,139.49,57.88,good_form,perfect
2026-03-27T19:20:12.700572,2.17,80.82,162.32,121.75,136.65,154.87,127.08,49.88,bad_form,elbow_flare
2026-03-27T19:20:16.458150,1.95,89.06,167.32,123.79,136.21,154.22,126.71,33.7,bad_form,elbow_flare
2026-03-27T19:20:39.805742,3.17,50.61,166.56,103.38,142.65,155.7,143.33,14.28,good_form,perfect
2026-03-27T19:20:46.272486,1.9,89.55,163.68,124.8,138.18,154.41,112.71,36.16,bad_form,shallow_depth
2026-03-27T19:20:50.266220,1.93,87.58,161.16,119.92,141.93,157.72,116.16,36.58,good_form,perfect
2026-03-27T19:21:03.544567,2.93,38.22,160.19,96.42,142.65,157.3,155.57,9.53,good_form,perfect
2026-03-27T19:21:08.600698,2.45,56.08,167.08,107.39,115.48,143.83,161.95,48.01,good_form,perfect
